step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.66873,0.88889,1.23117,0.51852
2,0.9023,0.81481,,
3,0.90698,0.87037,,
4,0.66762,0.83333,,
5,0.77767,0.7963,,
6,0.73072,0.87037,,
7,0.62798,0.88889,,
8,0.88005,0.85185,,
9,0.58193,0.87037,,
10,0.41195,0.85185,,
11,0.26808,0.90741,,
12,0.82743,0.83333,,
13,0.26099,0.92593,,
14,0.18134,0.96296,,
15,0.33731,0.90741,,
16,0.36566,0.92593,,
17,0.32706,0.92593,,
18,0.08318,0.94444,,
19,0.28134,0.94444,,
20,0.22407,0.96296,,
21,0.12544,0.98148,,
22,0.05112,0.98148,,
23,0.37994,0.94444,,
24,0.01514,1.0,,
25,0.08918,0.98148,,
26,0.08628,0.96296,,
27,0.18481,0.94444,,
28,0.15909,0.96296,,
29,0.02299,0.98148,,
30,0.06961,0.96296,,
31,0.31076,0.94444,,
32,0.30421,0.92593,,
33,0.3172,0.96296,,
34,0.28791,0.94444,,
35,0.43241,0.92593,,
36,0.34722,0.96296,,
37,0.23583,0.96296,,
38,0.12623,0.98148,,
39,0.01784,1.0,,
40,0.01538,1.0,,
41,0.1557,0.96296,,
42,0.08807,0.96296,,
43,0.20353,0.96296,,
44,0.09296,0.94444,,
45,0.0123,1.0,,
46,0.0381,1.0,,
47,0.1859,0.92593,,
48,0.09474,0.98148,,
49,0.12593,0.98148,,
50,0.16062,0.92593,,
51,0.05655,0.98148,,
52,0.19935,0.94444,,
53,0.08218,0.98148,,
54,0.04655,0.98148,,
55,0.11968,0.98148,,
56,0.20107,0.94444,,
57,0.14413,0.96296,,
58,0.20998,0.94444,,
59,0.07096,0.98148,,
60,0.03737,0.98148,,
61,0.17137,0.94444,,
62,0.07827,0.96296,,
63,0.13923,0.94444,,
64,0.06452,0.98148,,
65,0.05483,0.96296,,
66,0.28626,0.94444,,
67,0.09339,0.98148,,
68,0.15145,0.92593,,
69,0.19375,0.94444,,
70,0.10786,0.96296,,
71,0.18641,0.92593,,
72,0.10919,0.96296,,
73,0.12654,0.96296,,
74,0.00329,1.0,,
75,0.03263,0.98148,,
76,0.04655,0.98148,,
77,0.16738,0.94444,,
78,0.00251,1.0,,
79,0.07095,0.96296,,
80,0.13577,0.96296,,
81,0.00792,1.0,,
82,0.00457,1.0,,
83,0.13263,0.92593,,
84,0.00881,1.0,,
85,0.07358,0.98148,,
86,0.12714,0.96296,,
87,0.13013,0.96296,,
88,0.07128,0.94444,,
89,0.05004,0.98148,,
90,0.03978,0.98148,,
91,0.16057,0.96296,,
92,0.17016,0.98148,,
93,0.11501,0.94444,,
94,0.03375,0.98148,,
95,0.09679,0.98148,,
96,0.12739,0.96296,,
97,0.17625,0.98148,,
98,0.04878,0.98148,,
99,0.0699,0.98148,,
100,0.18584,0.96296,,
101,0.07991,0.98148,0.01053,0.66667
102,0.07876,0.96296,,
103,0.13966,0.96296,,
104,0.07371,0.96296,,
105,0.0405,0.98148,,
106,0.06982,0.96296,,
107,0.01037,1.0,,
108,0.03612,1.0,,
109,0.11257,0.96296,,
110,0.01405,1.0,,
111,0.09366,0.98148,,
112,0.01736,1.0,,
